Colony,Nest,CoordID,ScaledX,ScaledY
1,Tube,3,4.108478803,0.149625935
1,Tube,4,3.428927681,2.069825436
1,Tube,5,2.10723192,1.02244389
1,Tube,6,1.371571072,2.855361596
1,Tube,7,3.079800499,3.672069825
1,Tube,8,4.617643392,3.557774314
1,Tube,9,6.770573566,2.855361596
1,Tube,10,5.947630923,1.288447631
1,Tube,11,4.532418953,1.988778055
1,Circle,3,4.988558352,0.915331808
1,Circle,4,5.205949657,1.224256293
1,Circle,5,5.263157895,1.498855835
1,Circle,6,5.297482838,1.784897025
1,Circle,7,5.251716247,2.025171625
1,Circle,8,5.183066362,2.311212815
1,Circle,9,5.022883295,2.631578947
2,Tube,3,3.799559471,0.209251101
2,Tube,4,3.370044053,1.22246696
2,Tube,5,2.670704846,0.715859031
2,Tube,6,2.16685022,1.665748899
2,Tube,7,3.197505507,2.154917401
2,Tube,8,4.034509912,2.147577093
2,Tube,9,5.213838106,1.673089207
2,Tube,10,4.798089207,0.759911894
2,Tube,11,4.122615639,1.178414097
2,Circle,3,4.3412527,0.539956803
2,Circle,4,4.44924406,0.701943844
2,Circle,5,4.481641469,0.842332613
2,Circle,6,4.503239741,1.004319654
2,Circle,7,4.492440605,1.166306695
2,Circle,8,4.438444924,1.306695464
2,Circle,9,4.352051836,1.479481641
3,Tube,3,4.076673866,0.313174946
3,Tube,4,3.250539957,2.257019438
3,Tube,5,2.035637149,1.447084233
3,Tube,6,1.083515119,3.083153348
3,Tube,7,2.904967603,3.930885529
3,Tube,8,4.546436285,3.909287257
3,Tube,9,7.030237581,3.142548596
3,Tube,10,5.777537797,1.425485961
3,Tube,11,4.07937365,2.213822894
3,Circle,3,5.005507621,0.858269087
3,Circle,4,5.174409831,1.188726341
3,Circle,5,5.284562249,1.489811452
3,Circle,6,5.335964875,1.776207739
3,Circle,7,5.299251074,2.069945684
3,Circle,8,5.211129139,2.371030795
3,Circle,9,4.990824304,2.730860191
4,Tube,3,4.051339286,0.033482143
4,Tube,4,3.404017857,1.674107143
4,Tube,5,2.433035714,0.825892857
4,Tube,6,1.785714286,2.354910714
4,Tube,7,3.28125,2.979910714
4,Tube,8,4.553571429,2.957589286
4,Tube,9,6.590401786,2.36234933
4,Tube,10,5.959821429,1.097472098
4,Tube,11,4.62797433,1.625742188
4,Circle,3,4.701327434,0.597345133
4,Circle,4,4.845132743,0.873893805
4,Circle,5,4.955752212,1.084070796
4,Circle,6,4.966814159,1.283185841
4,Circle,7,4.933628319,1.515486726
4,Circle,8,4.889380531,1.736725664
4,Circle,9,4.734513274,2.002212389
5,Tube,3,3.917050691,0.149769585
5,Tube,4,3.559907834,1.105990783
5,Tube,5,3.012672811,0.535714286
5,Tube,6,2.492321429,1.468894009
5,Tube,7,3.415898618,1.910524194
5,Tube,8,4.183945853,1.94124424
5,Tube,9,5.119049539,1.459291475
5,Tube,10,4.704302995,0.535714286
5,Tube,11,3.92281106,1.073346774
5,Circle,3,4.269776607,0.522773565
5,Circle,4,4.380416515,0.685043587
5,Circle,5,4.424672478,0.832565308
5,Circle,6,4.44680046,0.972707347
5,Circle,7,4.44680046,1.105475237
5,Circle,8,4.395170347,1.245622809
5,Circle,9,4.29928427,1.40789283
6,Tube,3,3.917050691,0.149769585
6,Tube,4,3.559907834,1.105990783
6,Tube,5,2.939706221,0.535714286
6,Tube,6,2.492321429,1.474654378
6,Tube,7,3.415898618,1.910524194
6,Tube,8,4.183945853,1.94124424
6,Tube,9,5.119049539,1.459291475
6,Tube,10,4.704302995,0.535714286
6,Tube,11,3.92281106,1.073346774
6,Circle,3,4.269776607,0.522773565
6,Circle,4,4.380416515,0.685043587
6,Circle,5,4.424672478,0.832565308
6,Circle,6,4.44680046,0.972707347
6,Circle,7,4.44680046,1.105475237
6,Circle,8,4.395170347,1.245622809
6,Circle,9,4.29928427,1.40789283
7,Tube,3,4.025229358,0.080275229
7,Tube,4,3.463302752,1.869266055
7,Tube,5,2.305045872,1.22706422
7,Tube,6,1.731651376,2.626146789
7,Tube,7,3.211009174,3.165137615
7,Tube,8,4.587155963,3.176605505
7,Tube,9,5.951834862,2.614678899
7,Tube,10,5.366972477,1.23853211
7,Tube,11,4.059633028,2.041284404
7,Circle,3,4.747757848,0.521300448
