"Nest","NestSize","Bin"
"Tube","Small",1
"Tube","Small",2
"Tube","Small",3
"Tube","Small",4
"Tube","Small",5
"Tube","Small",6
"Tube","Small",7
"Tube","Small",8
"Tube","Large",1
"Tube","Large",2
"Tube","Large",3
"Tube","Large",4
"Tube","Large",5
"Tube","Large",6
"Tube","Large",7
"Tube","Large",8
"Circle","Small",1
"Circle","Small",2
"Circle","Small",3
"Circle","Small",4
"Circle","Small",5
"Circle","Small",6
"Circle","Small",7
"Circle","Small",8
"Circle","Large",1
"Circle","Large",2
"Circle","Large",3
"Circle","Large",4
"Circle","Large",5
"Circle","Large",6
"Circle","Large",7
"Circle","Large",8
