"Colony","Head","Thorax","Abd1","Abd2"
1,"W","W","W","W"
1,"W","Y","W","Y"
1,"W","G","W","G"
1,"W","LB","W","LB"
1,"W","DB","W","DB"
1,"W","O","W","O"
1,"W","P","W","P"
1,"W","B","W","B"
1,"W","Y","Y","W"
1,"W","G","Y","Y"
1,"W","LB","Y","G"
1,"W","DB","Y","LB"
1,"W","O","Y","DB"
1,"W","P","Y","O"
1,"W","B","Y","P"
1,"W","W","Y","B"
1,"W","G","G","W"
1,"W","LB","G","Y"
1,"W","DB","G","G"
1,"W","O","G","LB"
1,"W","P","G","DB"
1,"W","B","G","O"
1,"W","W","G","P"
1,"W","Y","G","B"
1,"W","LB","LB","W"
1,"W","DB","LB","Y"
1,"W","O","LB","G"
1,"W","P","LB","LB"
1,"W","B","LB","DB"
1,"W","W","LB","O"
1,"W","Y","LB","P"
1,"W","G","LB","B"
1,"W","DB","DB","W"
1,"W","O","DB","Y"
1,"W","P","DB","G"
1,"W","B","DB","LB"
1,"W","W","DB","DB"
1,"W","Y","DB","O"
1,"W","G","DB","P"
1,"W","LB","DB","B"
1,"W","O","O","W"
1,"W","P","O","Y"
1,"W","B","O","G"
1,"W","W","O","LB"
1,"W","Y","O","DB"
1,"W","G","O","O"
1,"W","LB","O","P"
1,"W","DB","O","B"
1,"W","P","P","W"
1,"W","B","P","Y"
1,"W","W","P","G"
1,"W","Y","P","LB"
1,"W","G","P","DB"
1,"W","LB","P","O"
1,"W","DB","P","P"
1,"W","O","P","B"
1,"W","B","B","W"
1,"W","W","B","Y"
1,"W","Y","B","G"
1,"W","G","B","LB"
1,"W","LB","B","DB"
1,"W","DB","B","O"
1,"W","O","B","P"
1,"W","P","B","B"
1,"Y","Y","W","W"
1,"Y","G","W","Y"
1,"Y","LB","W","G"
1,"Y","DB","W","LB"
1,"Y","O","W","DB"
1,"Y","P","W","O"
1,"Y","B","W","P"
1,"Y","W","W","B"
1,"Y","G","Y","W"
1,"Y","LB","Y","Y"
1,"Y","DB","Y","G"
1,"Y","O","Y","LB"
1,"Y","P","Y","DB"
1,"Y","B","Y","O"
1,"Y","W","Y","P"
1,"Y","Y","Y","B"
1,"Y","LB","G","W"
1,"Y","DB","G","Y"
1,"Y","O","G","G"
1,"Y","P","G","LB"
1,"Y","B","G","DB"
1,"Y","W","G","O"
1,"Y","Y","G","P"
1,"Y","G","G","B"
1,"Y","DB","LB","W"
1,"Y","O","LB","Y"
1,"Y","P","LB","G"
1,"Y","B","LB","LB"
1,"Y","W","LB","DB"
1,"Y","Y","LB","O"
1,"Y","G","LB","P"
1,"Y","LB","LB","B"
1,"Y","O","DB","W"
1,"Y","P","DB","Y"
1,"Y","B","DB","G"
1,"Y","W","DB","LB"
1,"Y","Y","DB","DB"
1,"Y","G","DB","O"
1,"Y","LB","DB","P"
1,"Y","DB","DB","B"
1,"Y","P","O","W"
1,"Y","B","O","Y"
