"Colony","Nest","Bin","Corner"
1,"Circle",1,"Y"
1,"Circle",2,"N"
1,"Circle",3,"N"
1,"Circle",4,"N"
1,"Circle",5,"N"
1,"Circle",6,"N"
1,"Circle",7,"N"
1,"Circle",8,"N"
1,"Tube",1,"Y"
1,"Tube",2,"N"
1,"Tube",3,"Y"
1,"Tube",4,"Y"
1,"Tube",5,"N"
1,"Tube",6,"Y"
1,"Tube",7,"Y"
1,"Tube",8,"N"
2,"Circle",1,"Y"
2,"Circle",2,"N"
2,"Circle",3,"N"
2,"Circle",4,"N"
2,"Circle",5,"N"
2,"Circle",6,"N"
2,"Circle",7,"N"
2,"Circle",8,"N"
2,"Tube",1,"Y"
2,"Tube",2,"N"
2,"Tube",3,"Y"
2,"Tube",4,"Y"
2,"Tube",5,"N"
2,"Tube",6,"Y"
2,"Tube",7,"Y"
2,"Tube",8,"N"
3,"Circle",1,"Y"
3,"Circle",2,"N"
3,"Circle",3,"N"
3,"Circle",4,"N"
3,"Circle",5,"N"
3,"Circle",6,"N"
3,"Circle",7,"N"
3,"Circle",8,"N"
3,"Tube",1,"Y"
3,"Tube",2,"N"
3,"Tube",3,"Y"
3,"Tube",4,"Y"
3,"Tube",5,"N"
3,"Tube",6,"Y"
3,"Tube",7,"Y"
3,"Tube",8,"N"
4,"Circle",1,"Y"
4,"Circle",2,"N"
4,"Circle",3,"N"
4,"Circle",4,"N"
4,"Circle",5,"N"
4,"Circle",6,"N"
4,"Circle",7,"N"
4,"Circle",8,"N"
4,"Tube",1,"Y"
4,"Tube",2,"N"
4,"Tube",3,"Y"
4,"Tube",4,"Y"
4,"Tube",5,"N"
4,"Tube",6,"Y"
4,"Tube",7,"Y"
4,"Tube",8,"N"
5,"Circle",1,"Y"
5,"Circle",2,"N"
5,"Circle",3,"N"
5,"Circle",4,"N"
5,"Circle",5,"N"
5,"Circle",6,"N"
5,"Circle",7,"N"
5,"Circle",8,"N"
5,"Tube",1,"Y"
5,"Tube",2,"N"
5,"Tube",3,"Y"
5,"Tube",4,"Y"
5,"Tube",5,"N"
5,"Tube",6,"Y"
5,"Tube",7,"Y"
5,"Tube",8,"N"
6,"Circle",1,"Y"
6,"Circle",2,"N"
6,"Circle",3,"N"
6,"Circle",4,"N"
6,"Circle",5,"N"
6,"Circle",6,"N"
