Colony,Nest,Distance,Bin,BinX,BinY,Xmax,Ymax,MaxDist,TubeRatio
1,Circle,0,1,3.75,0,5.136996453,3.273992906,10.836,0.255997869
1,Circle,0,2,3.75,0,5.136996453,3.273992906,10.836,0.255997869
1,Circle,0,3,3.75,0,5.136996453,3.273992906,10.836,0.255997869
1,Circle,0,4,3.75,0,5.136996453,3.273992906,10.836,0.255997869
1,Circle,0,5,3.75,0,5.136996453,3.273992906,10.836,0.255997869
1,Circle,0,6,3.75,0,5.136996453,3.273992906,10.836,0.255997869
1,Circle,0,7,3.75,0,5.136996453,3.273992906,10.836,0.255997869
1,Circle,0,8,3.75,0,5.136996453,3.273992906,10.836,0.255997869
1,Tube,0,1,3.758310474,0.052992519,6.772151899,3.405063291,10.836,0.255997869
1,Tube,1.338,2,3.533871571,1.358061097,6.772151899,3.405063291,10.836,0.255997869
1,Tube,2.982,3,1.996053616,1.840193267,6.772151899,3.405063291,10.836,0.255997869
1,Tube,4.158,4,1.962799252,2.954071072,6.772151899,3.405063291,10.836,0.255997869
1,Tube,4.158,5,1.962799252,2.954071072,6.772151899,3.405063291,10.836,0.255997869
1,Tube,4.158,6,1.962799252,2.954071072,6.772151899,3.405063291,10.836,0.255997869
1,Tube,8.508,7,6.177263092,2.954071072,6.772151899,3.405063291,10.836,0.255997869
1,Tube,9.645,8,6.177263092,1.856814214,6.772151899,3.405063291,10.836,0.255997869
2,Circle,0,1,3.75,0,4.554168272,1.808336543,5.818,0.276441482
2,Circle,0,2,3.75,0,4.554168272,1.808336543,5.818,0.276441482
2,Circle,0,3,3.75,0,4.554168272,1.808336543,5.818,0.276441482
2,Circle,0,4,3.75,0,4.554168272,1.808336543,5.818,0.276441482
2,Circle,0,5,3.75,0,4.554168272,1.808336543,5.818,0.276441482
2,Circle,0,6,3.75,0,4.554168272,1.808336543,5.818,0.276441482
2,Circle,0,7,3.75,0,4.554168272,1.808336543,5.818,0.276441482
2,Circle,0,8,3.75,0,4.554168272,1.808336543,5.818,0.276441482
2,Tube,0,1,3.532488987,0.021106828,5.199115044,1.980088496,5.818,0.276441482
2,Tube,0.829,2,3.422356828,0.858111233,5.199115044,1.980088496,5.818,0.276441482
2,Tube,1.746,3,2.578012115,1.115088106,5.199115044,1.980088496,5.818,0.276441482
2,Tube,2.394,4,2.5706663,1.739168502,5.199115044,1.980088496,5.818,0.276441482
2,Tube,2.394,5,2.5706663,1.739168502,5.199115044,1.980088496,5.818,0.276441482
2,Tube,2.394,6,2.5706663,1.739168502,5.199115044,1.980088496,5.818,0.276441482
2,Tube,4.682,7,4.85407489,1.739168502,5.199115044,1.980088496,5.818,0.276441482
2,Tube,5.353,8,4.85407489,1.093061674,5.199115044,1.980088496,5.818,0.276441482
3,Circle,0,1,3.75,0,5.352588233,3.365176465,11.89,0.26115866
3,Circle,0,2,3.75,0,5.352588233,3.365176465,11.89,0.26115866
3,Circle,0,3,3.75,0,5.352588233,3.365176465,11.89,0.26115866
3,Circle,0,4,3.75,0,5.352588233,3.365176465,11.89,0.26115866
3,Circle,0,5,3.75,0,5.352588233,3.365176465,11.89,0.26115866
3,Circle,0,6,3.75,0,5.352588233,3.365176465,11.89,0.26115866
3,Circle,0,7,3.75,0,5.352588233,3.365176465,11.89,0.26115866
3,Circle,0,8,3.75,0,5.352588233,3.365176465,11.89,0.26115866
3,Tube,0,1,3.564616631,0.045896328,6.433260394,3.86214442,11.89,0.26115866
3,Tube,1.607,2,3.327035637,1.608169546,6.433260394,3.86214442,11.89,0.26115866
3,Tube,3.36,3,1.707165227,2.040134989,6.433260394,3.86214442,11.89,0.26115866
3,Tube,4.658,4,1.699962203,3.249638229,6.433260394,3.86214442,11.89,0.26115866
3,Tube,4.658,5,1.699962203,3.249638229,6.433260394,3.86214442,11.89,0.26115866
3,Tube,4.658,6,1.699962203,3.249638229,6.433260394,3.86214442,11.89,0.26115866
3,Tube,9.029,7,5.818034557,3.271236501,6.433260394,3.86214442,11.89,0.26115866
3,Tube,10.3,8,5.818034557,2.054535637,6.433260394,3.86214442,11.89,0.26115866
