Colony,Nest,Day,ScaledX,ScaledY,SexID
11,Circle,4,3.473164902,1.170882644,"A,M,1,1"
11,Circle,4,2.812461713,0.837754986,"A,M,2,2"
11,Circle,4,4.124614544,1.426280515,"A,M,3,3"
11,Circle,4,3.745219155,1.846391506,"A,M,4,4"
11,Circle,4,3.49907483,1.809377321,"A,M,5,5"
11,Circle,4,3.608266674,1.779765974,"A,M,6,6"
11,Circle,4,3.682295042,1.950031221,"A,M,7,7"
11,Circle,4,3.971005679,1.924121293,"A,M,8,8"
11,Circle,4,4.054287594,1.753856045,"A,M,9,9"
11,Circle,4,4.227019836,1.84392451,"A,F,1,10"
11,Circle,4,4.380012415,2.379395758,"A,F,2,11"
11,Circle,4,3.474399325,2.495374152,"A,M,10,12"
11,Circle,4,3.245527669,1.7649603,"A,M,11,13"
11,Circle,5,3.722419929,0.754448399,"A,M,1,1"
11,Circle,5,3.444839858,0.943060498,"A,M,2,2"
11,Circle,5,3.81316726,1.233096085,"A,M,3,3"
11,Circle,5,4.327402135,0.975088968,"A,M,4,4"
11,Circle,5,3.951957295,1.28113879,"A,M,5,5"
11,Circle,5,3.731316726,1.355871886,"A,M,6,6"
11,Circle,5,4.197508897,1.473309609,"A,M,7,7"
11,Circle,5,3.247330961,1.912811388,"A,M,8,8"
11,Circle,5,3.596085409,2.008896797,"A,M,9,9"
11,Circle,5,3.364768683,2.080071174,"A,?,?,10"
11,Circle,5,3.939501779,2.295373665,"A,M,10,11"
11,Circle,5,3.754448399,2.53202847,"A,F,1,12"
11,Circle,5,2.212930605,2.669631673,"A,F,2,13"
11,Circle,5,3.225978648,1.654211744,"A,M,11,14"
11,Circle,5,2.632859431,1.599644128,"A,M,12,15"
11,Circle,6,4.208332721,0.702818015,"A,M,1,1"
11,Circle,6,4.117647059,0.690564338,"A,M,2,2"
11,Circle,6,3.453431985,0.945465074,"A,M,3,3"
11,Circle,6,3.198529412,0.962623162,"A,M,4,4"
11,Circle,6,3.063726103,1.045955882,"A,M,5,5"
11,Circle,6,3.512255515,1.288602941,"A,M,6,6"
11,Circle,6,4.159314338,0.962623162,"A,M,7,7"
11,Circle,6,4.272058824,1.126838235,"A,M,8,8"
11,Circle,6,3.816176471,1.653799632,"A,M,9,9"
11,Circle,6,3.725490809,2.161152574,"A,F,1,10"
