"Colony","Nest","Day","ScaledX","ScaledY","Bin","CoordID","ColorID","Head","Sex","SexNumber","TotalNumber"
11,"Circle",4,3.473164902,1.170882644,3,25,"A,M,1,1","A","M",1,1
11,"Circle",4,2.812461713,0.837754986,2,29,"A,M,2,2","A","M",2,2
11,"Circle",4,4.124614544,1.426280515,3,33,"A,M,3,3","A","M",3,3
11,"Circle",4,3.745219155,1.846391506,5,38,"A,M,4,4","A","M",4,4
11,"Circle",4,3.49907483,1.809377321,5,39,"A,M,5,5","A","M",5,5
11,"Circle",4,3.608266674,1.779765974,4,40,"A,M,6,6","A","M",6,6
11,"Circle",4,3.682295042,1.950031221,5,41,"A,M,7,7","A","M",7,7
11,"Circle",4,3.971005679,1.924121293,5,44,"A,M,8,8","A","M",8,8
11,"Circle",4,4.054287594,1.753856045,4,45,"A,M,9,9","A","M",9,9
11,"Circle",4,4.227019836,1.84392451,5,48,"A,F,1,10","A","F",1,10
11,"Circle",4,4.380012415,2.379395758,6,58,"A,F,2,11","A","F",2,11
11,"Circle",4,3.474399325,2.495374152,7,69,"A,M,10,12","A","M",10,12
11,"Circle",4,3.245527669,1.7649603,4,87,"A,M,11,13","A","M",11,13
11,"Circle",5,3.722419929,0.754448399,1,18,"A,M,1,1","A","M",1,1
11,"Circle",5,3.444839858,0.943060498,2,23,"A,M,2,2","A","M",2,2
11,"Circle",5,3.81316726,1.233096085,3,30,"A,M,3,3","A","M",3,3
11,"Circle",5,4.327402135,0.975088968,2,34,"A,M,4,4","A","M",4,4
11,"Circle",5,3.951957295,1.28113879,3,35,"A,M,5,5","A","M",5,5
11,"Circle",5,3.731316726,1.355871886,3,36,"A,M,6,6","A","M",6,6
11,"Circle",5,4.197508897,1.473309609,3,40,"A,M,7,7","A","M",7,7
11,"Circle",5,3.247330961,1.912811388,5,50,"A,M,8,8","A","M",8,8
11,"Circle",5,3.596085409,2.008896797,5,52,"A,M,9,9","A","M",9,9
11,"Circle",5,3.364768683,2.080071174,5,55,"A,?,?,10","A","?",NA,10
11,"Circle",5,3.939501779,2.295373665,6,58,"A,M,10,11","A","M",10,11
11,"Circle",5,3.754448399,2.53202847,7,59,"A,F,1,12","A","F",1,12
11,"Circle",5,2.212930605,2.669631673,7,89,"A,F,2,13","A","F",2,13
11,"Circle",5,3.225978648,1.654211744,4,95,"A,M,11,14","A","M",11,14
11,"Circle",5,2.632859431,1.599644128,4,99,"A,M,12,15","A","M",12,15
11,"Circle",6,4.208332721,0.702818015,1,12,"A,M,1,1","A","M",1,1
11,"Circle",6,4.117647059,0.690564338,1,13,"A,M,2,2","A","M",2,2
11,"Circle",6,3.453431985,0.945465074,2,33,"A,M,3,3","A","M",3,3
11,"Circle",6,3.198529412,0.962623162,2,39,"A,M,4,4","A","M",4,4
11,"Circle",6,3.063726103,1.045955882,2,42,"A,M,5,5","A","M",5,5
11,"Circle",6,3.512255515,1.288602941,3,45,"A,M,6,6","A","M",6,6
11,"Circle",6,4.159314338,0.962623162,2,47,"A,M,7,7","A","M",7,7
11,"Circle",6,4.272058824,1.126838235,2,48,"A,M,8,8","A","M",8,8
11,"Circle",6,3.816176471,1.653799632,4,53,"A,M,9,9","A","M",9,9
11,"Circle",6,3.725490809,2.161152574,6,63,"A,F,1,10","A","F",1,10
11,"Circle",6,2.850490809,1.624387868,4,68,"A,M,10,11","A","M",10,11
11,"Circle",6,2.924020221,1.751838235,4,69,"A,F,2,12","A","F",2,12
11,"Circle",6,3.781862132,2.271446691,6,73,"A,F,3,13","A","F",3,13
11,"Circle",6,2.150735294,1.930147059,5,103,"A,M,11,14","A","M",11,14
11,"Circle",6,2.643382353,1.917279412,5,111,"A,F,4,15","A","F",4,15
11,"Circle",8,4.11258473,0.5598211,1,18,"A,M,1,1","A","M",1,1
11,"Circle",8,3.90079377,0.884938802,2,31,"A,M,2,2","A","M",2,2
11,"Circle",8,4.105153469,0.92209511,2,32,"A,M,3,3","A","M",3,3
11,"Circle",8,4.058708083,1.288084752,3,42,"A,M,4,4","A","M",4,4
11,"Circle",8,3.553382283,1.589050853,4,55,"A,M,5,5","A","M",5,5
11,"Circle",8,3.670424656,1.57418833,4,56,"A,M,6,6","A","M",6,6
11,"Circle",8,3.363885108,1.934604525,5,60,"A,F,1,7","A","F",1,7
11,"Circle",8,3.698291887,2.020064035,5,62,"A,F,2,8","A","F",2,8
11,"Circle",8,3.278425598,2.328461398,6,79,"A,F,3,9","A","F",3,9
11,"Circle",8,3.075923715,2.179836163,6,81,"A,F,4,10","A","F",4,10
11,"Circle",8,3.393610155,2.768763657,7,83,"A,F,5,11","A","F",5,11
11,"Circle",8,3.928661002,2.581124298,7,87,"A,F,6,12","A","F",6,12
11,"Circle",8,2.743993404,2.230615832,6,98,"A,M,7,13","A","M",7,13
11,"Circle",8,4.199902056,1.596482115,4,140,"A,F,7,14","A","F",7,14
11,"Circle",8,3.976964203,1.57418833,4,142,"A,M,8,15","A","M",8,15
11,"Circle",8,4.888532931,1.056476475,2,145,"A,F,8,16","A","F",8,16
11,"Circle",9,3.227941176,0.558823529,1,18,"A,M,1,1","A","M",1,1
11,"Circle",9,3.202205882,0.863970588,2,20,"A,M,2,2","A","M",2,2
11,"Circle",9,2.860294118,0.886029412,2,29,"A,M,3,3","A","M",3,3
11,"Circle",9,3.742647059,0.78125,2,34,"A,M,4,4","A","M",4,4
11,"Circle",9,4.180147059,1.102941176,2,41,"A,M,5,5","A","M",5,5
11,"Circle",9,4.340073529,1.152573529,3,42,"A,M,6,6","A","M",6,6
11,"Circle",9,3.555147059,3.215685662,8,67,"A,F,1,7","A","F",1,7
11,"Circle",9,3.472426471,1.259191176,3,93,"A,M,7,8","A","M",7,8
11,"Circle",9,3.163602941,1.555147059,4,100,"A,F,2,9","A","F",2,9
11,"Circle",9,3.435661765,1.628676471,4,109,"A,M,8,10","A","M",8,10
11,"Circle",9,3.455882353,1.805147059,5,111,"A,M,9,11","A","M",9,11
11,"Circle",9,3.909926471,1.586397059,4,113,"A,M,10,12","A","M",10,12
11,"Circle",9,3.220588235,2.108455882,5,114,"A,F,3,13","A","F",3,13
11,"Circle",9,3.473038603,2.719976103,7,133,"A,M,11,14","A","M",11,14
11,"Circle",9,3.900123162,2.398897059,6,145,"A,F,4,15","A","F",4,15
11,"Circle",9,3.972426471,2.085170956,5,148,"A,F,5,16","A","F",5,16
11,"Circle",10,3.475972687,0.854595102,2,15,"A,M,1,1","A","M",1,1
11,"Circle",10,3.31991619,1.025514123,2,18,"A,M,2,2","A","M",2,2
11,"Circle",10,5.014243871,1.05523917,2,42,"A,F,1,3","A","F",1,3
11,"Circle",10,3.710676085,2.597844637,7,101,"A,F,2,4","A","F",2,4
11,"Circle",10,3.675998102,2.112336155,5,106,"A,F,3,5","A","F",3,5
11,"Circle",10,3.81471375,1.768021646,4,109,"A,F,4,6","A","F",4,6
11,"Circle",10,4.062423713,1.82747174,5,111,"A,F,5,7","A","F",5,7
11,"Circle",10,3.519941605,1.356823923,3,116,"A,F,6,8","A","F",6,8
11,"Circle",10,3.111840861,1.300470808,3,125,"A,M,3,9","A","M",3,9
11,"Circle",10,3.004087566,1.421228811,3,128,"A,M,4,10","A","M",4,10
11,"Circle",10,2.465321088,0.871315441,2,135,"A,M,5,11","A","M",5,11
11,"Circle",10,2.463463273,1.737057436,4,139,"A,F,7,12","A","F",7,12
11,"Circle",10,2.587936907,2.145776833,6,143,"A,M,6,13","A","M",6,13
11,"Circle",10,3.04310169,1.900545195,5,147,"A,F,8,14","A","F",8,14
11,"Circle",10,2.641813555,2.591652538,7,156,"A,F,9,15","A","F",9,15
11,"Circle",11,3.049213918,0.838856775,2,9,"A,M,1,1","A","M",1,1
11,"Circle",11,2.823392857,0.973858616,2,11,"A,M,2,2","A","M",2,2
11,"Circle",11,4.058050442,3.18728461,8,45,"A,F,1,3","A","F",1,3
11,"Circle",11,2.372361929,1.931148748,5,79,"A,F,2,4","A","F",2,4
11,"Circle",11,2.887210972,2.391997423,6,91,"A,F,3,5","A","F",3,5
11,"Circle",11,3.636474595,1.456798601,3,118,"A,M,3,6","A","M",3,6
11,"Circle",11,4.181393594,1.062836892,2,126,"A,M,4,7","A","M",4,7
11,"Circle",11,4.053755523,1.319342784,3,128,"A,M,5,8","A","M",5,8
11,"Circle",11,3.588610088,2.052037923,5,137,"A,F,4,9","A","F",4,9
11,"Circle",11,3.64015648,2.700049705,7,142,"A,F,5,10","A","F",5,10
11,"Circle",11,4.328668999,2.90746134,8,149,"A,F,6,11","A","F",6,11
11,"Circle",11,3.674521355,2.932008468,8,151,"A,F,7,12","A","F",7,12
11,"Circle",11,4.420103093,1.444526878,3,171,"A,F,8,13","A","F",8,13
11,"Circle",11,4.876656848,1.119293078,2,173,"A,?,?,14","A","?",NA,14
11,"Circle",12,3.020597212,0.676337604,1,6,"A,M,1,1","A","M",1,1
11,"Circle",12,3.291885833,0.706480784,1,16,"A,M,2,2","A","M",2,2
11,"Circle",12,3.334589299,1.331951771,3,33,"A,M,3,3","A","M",3,3
11,"Circle",12,3.882191032,1.068198945,2,36,"A,M,4,4","A","M",4,4
11,"Circle",12,2.621200075,2.630619819,7,67,"A,F,1,5","A","F",1,5
11,"Circle",12,2.485555765,2.731098342,7,69,"A,F,2,6","A","F",2,6
11,"Circle",12,3.482793896,2.640668802,7,80,"A,F,3,7","A","F",3,7
11,"Circle",12,3.397386963,3.180732856,8,84,"A,F,4,8","A","F",4,8
11,"Circle",12,3.824415976,1.645943858,4,108,"A,F,5,9","A","F",5,9
