"Colony","Nest","Day","ScaledX","ScaledY","Density"
1,"Tube",4,3.119614021,1.519561635,"High"
1,"Tube",8,2.952432046,1.548640916,"High"
1,"Tube",7,3.157531088,1.582485332,"High"
1,"Tube",8,2.944086195,1.587982833,"High"
1,"Tube",7,3.209407293,1.591429505,"High"
1,"Tube",5,3.607565603,1.599881206,"High"
1,"Tube",4,3.312542116,1.606614233,"High"
1,"Tube",8,1.708690987,1.630901288,"High"
1,"Tube",7,3.075842165,1.634957219,"High"
1,"Tube",9,2.621744086,1.645637715,"High"
1,"Tube",6,2.289883508,1.645773208,"High"
1,"Tube",5,2.281324468,1.668439716,"High"
1,"Tube",7,3.054971831,1.668945077,"High"
1,"Tube",4,1.881458312,1.683079282,"High"
1,"Tube",8,2.942895207,1.684549356,"High"
1,"Tube",13,2.629313916,1.697990103,"High"
1,"Tube",8,1.848175966,1.709585122,"High"
1,"Tube",13,2.221459614,1.71230078,"High"
1,"Tube",4,1.965571101,1.72072508,"High"
1,"Tube",8,1.692596567,1.722997139,"High"
1,"Tube",5,1.804964539,1.728723404,"High"
1,"Tube",5,1.915780142,1.745567376,"High"
1,"Tube",8,1.749821173,1.756080114,"High"
1,"Tube",5,1.770390071,1.756205674,"High"
1,"Tube",4,1.899104229,1.759546095,"High"
1,"Tube",4,1.949102168,1.759546095,"High"
1,"Tube",4,1.802641063,1.76483987,"High"
1,"Tube",6,1.76064206,1.768043155,"High"
1,"Tube",6,3.198429533,1.776967968,"High"
1,"Tube",5,1.796099291,1.788120567,"High"
1,"Tube",6,1.78027665,1.790355189,"High"
1,"Tube",4,1.779111999,1.796602519,"High"
1,"Tube",4,1.813816222,1.797190128,"High"
1,"Tube",5,1.770390071,1.805851064,"High"
1,"Tube",5,1.975177305,1.820921986,"High"
1,"Tube",6,1.810621017,1.823376999,"High"
1,"Tube",4,1.761466082,1.827775795,"High"
1,"Tube",8,1.621065808,1.836552217,"High"
1,"Tube",4,1.787347348,1.836598753,"High"
1,"Tube",6,1.795448834,1.843011589,"High"
1,"Tube",11,1.863697486,1.846064815,"High"
1,"Tube",11,1.730258525,1.853181559,"High"
1,"Tube",4,1.840285096,1.904830217,"High"
1,"Tube",8,1.628218884,1.90897711,"High"
1,"Tube",9,1.865886827,1.924393584,"High"
1,"Tube",5,1.792553191,1.935283688,"High"
1,"Tube",5,1.82358156,1.942375887,"High"
1,"Tube",9,1.948977519,1.943155998,"High"
1,"Tube",6,1.770459355,1.951001834,"High"
1,"Tube",6,1.787416501,1.953679278,"High"
1,"Tube",9,1.892690276,2.001230137,"High"
1,"Tube",11,1.752498352,2.080917386,"High"
1,"Tube",11,1.854801555,2.092482096,"High"
1,"Tube",9,2.009732003,2.101296346,"High"
1,"Tube",13,1.885158698,2.105844405,"High"
1,"Tube",10,1.867728626,2.117022156,"High"
1,"Tube",10,1.979288796,2.117914637,"High"
1,"Tube",7,1.760749955,2.132253254,"High"
1,"Tube",5,1.781028369,2.137411348,"High"
1,"Tube",6,1.740114989,2.141992845,"High"
1,"Tube",9,1.887329586,2.14686221,"High"
1,"Tube",9,1.945403726,2.152222899,"High"
1,"Tube",6,1.782954095,2.155380066,"High"
1,"Tube",12,1.838380081,2.172111742,"High"
1,"Tube",13,1.801977886,2.17471454,"High"
1,"Tube",6,1.74725484,2.188401876,"High"
1,"Tube",9,1.882862345,2.201362556,"High"
1,"Tube",8,1.925965665,2.209406295,"High"
1,"Tube",7,1.989720791,2.220800569,"High"
1,"Tube",9,1.993649934,2.223698763,"High"
1,"Tube",6,1.97037518,2.22410113,"High"
1,"Tube",9,1.787263377,2.229059453,"High"
1,"Tube",6,1.943006347,2.236595869,"High"
1,"Tube",5,1.791666667,2.237588652,"High"
1,"Tube",5,1.835992908,2.237588652,"High"
1,"Tube",8,1.731044349,2.244277539,"High"
1,"Tube",10,1.924847433,2.244646991,"High"
1,"Tube",13,6.348301172,2.245373509,"High"
1,"Tube",7,1.7992099,2.248527507,"High"
1,"Tube",4,1.79911188,2.253631749,"High"
1,"Tube",6,1.78027665,2.256230459,"High"
1,"Tube",9,1.818534068,2.263010488,"High"
1,"Tube",10,1.85077148,2.271421432,"High"
1,"Tube",6,1.736545064,2.279434975,"High"
1,"Tube",5,1.772163121,2.284574468,"High"
1,"Tube",13,1.910202383,2.293672044,"High"
1,"Tube",11,1.90817714,2.295309316,"High"
1,"Tube",6,1.94955002,2.303233883,"High"
1,"Tube",8,1.714949928,2.305078684,"High"
1,"Tube",8,1.843705293,2.306866953,"High"
1,"Tube",7,1.963782689,2.308453468,"High"
1,"Tube",9,1.687197168,2.3094698,"High"
1,"Tube",11,1.862807893,2.320217922,"High"
1,"Tube",4,1.887341461,2.330684406,"High"
1,"Tube",9,1.920387173,2.337166697,"High"
1,"Tube",8,1.770386266,2.345314735,"High"
1,"Tube",6,1.960259797,2.345478595,"High"
1,"Tube",13,1.865481517,2.367014265,"High"
1,"Tube",12,6.419486908,2.367565161,"High"
1,"Tube",10,1.964116613,2.367809419,"High"
1,"Tube",5,1.768617021,2.374113475,"High"
1,"Tube",11,1.868145451,2.385158216,"High"
