Colony,Nest,Day,ScaledX,ScaledY,Density
1,Circle,4,3.166297327,1.939493318,High
1,Circle,4,3.253524499,2.041575724,High
1,Circle,4,3.656275056,1.374348552,High
1,Circle,4,3.739793987,1.956197105,High
1,Circle,4,3.973646993,1.742761693,High
1,Circle,4,3.984782851,2.293986637,High
1,Circle,5,3.227245172,2.511102895,High
1,Circle,5,3.413888889,2.552777778,High
1,Circle,5,4.120372222,2.246294444,High
1,Circle,5,4.158961258,1.894892224,High
1,Circle,5,4.30885034,1.922649462,High
1,Circle,5,4.353705556,1.890738889,High
1,Circle,6,2.738887612,2.705707463,High
1,Circle,6,3.150297561,1.995686133,High
1,Circle,6,3.385868153,2.347379779,High
1,Circle,6,3.473154362,2.386280761,High
1,Circle,6,3.941090604,2.205441834,High
1,Circle,6,4.479865772,1.647091723,High
1,Circle,7,3.26908579,2.008897695,High
1,Circle,7,3.528538897,2.275761842,High
1,Circle,7,3.697180358,1.957932203,High
1,Circle,8,3.363159955,1.444815436,High
1,Circle,8,3.394715402,2.176339286,High
1,Circle,8,4.109001116,1.640625,High
1,Circle,8,4.35496085,1.653618568,High
1,Circle,8,4.521947545,1.525295759,High
1,Circle,8,4.612231544,1.552947427,High
1,Circle,9,3.37257287,2.210386771,High
1,Circle,9,3.786516854,2.054308989,High
1,Circle,9,3.878275281,2.604870787,High
1,Circle,9,4.030269058,2.016070628,High
1,Circle,9,4.322095506,1.930713483,High
1,Circle,9,4.744019058,1.799327354,High
1,Circle,10,3.415363535,1.933260626,High
1,Circle,10,3.424887892,2.06838565,High
1,Circle,10,3.661448546,1.914614094,High
1,Circle,10,3.690207399,2.075857623,High
1,Circle,10,4.205816555,1.720732662,High
1,Circle,10,4.474960762,2.169282511,High
1,Circle,11,3.453436807,2.147078714,High
1,Circle,11,3.51831278,2.131911435,High
1,Circle,11,3.70889574,2.236547085,High
1,Circle,11,3.763858093,2.073170732,High
1,Circle,11,4.506651885,2.095343681,High
1,Circle,11,4.632847534,2.149663677,High
1,Circle,12,3.279147982,2.378548206,High
1,Circle,12,3.396505017,2.22222408,High
1,Circle,12,3.485691193,2.450763657,High
1,Circle,12,3.720106502,2.019803812,High
1,Circle,12,3.846153846,1.98067447,High
1,Circle,12,4.093794843,1.479820628,High
1,Circle,13,3.4765625,2.423733259,High
1,Circle,13,3.697684978,2.55044843,High
1,Circle,13,3.740697545,2.721356027,High
1,Circle,13,3.811383929,2.472098214,High
1,Circle,13,4.037741031,2.348654709,High
1,Circle,13,4.067640135,2.10948991,High
1,Tube,4,1.866018319,1.828302802,High
1,Tube,4,3.033165823,3.136587683,High
1,Tube,4,4.114585129,3.12859375,High
1,Tube,4,4.803849927,3.11697642,High
1,Tube,4,6.291309267,3.191449353,High
1,Tube,4,6.317758089,3.156204295,High
1,Tube,5,1.812456803,1.909649028,High
1,Tube,5,1.911347518,1.886524823,High
1,Tube,5,2.703385529,3.10475162,High
1,Tube,5,2.773640071,3.129432624,High
1,Tube,5,6.124908207,3.124551836,High
1,Tube,5,6.238179078,3.144207447,High
1,Tube,6,1.836222944,1.737012987,High
1,Tube,6,1.862535613,1.864316239,High
1,Tube,6,3.092948718,3.251424501,High
1,Tube,6,3.165584416,3.102451299,High
1,Tube,6,3.203463203,3.241341991,High
1,Tube,6,3.23005698,3.13034188,High
1,Tube,7,1.60041841,1.79916318,High
1,Tube,7,1.719088937,1.971258134,High
1,Tube,7,2.304743724,3.043933054,High
1,Tube,7,2.765726681,3.120932755,High
1,Tube,7,6.091354603,3.064853556,High
1,Tube,7,6.523861171,3.015184382,High
1,Tube,8,1.770386266,1.929542203,High
1,Tube,8,1.824034335,2.630543634,High
1,Tube,8,4.707916667,3.22663269,High
1,Tube,9,1.759024101,2.721120116,High
1,Tube,9,1.802096425,2.063921993,High
1,Tube,9,1.821298491,2.40704058,High
1,Tube,9,1.827372698,1.746115926,High
1,Tube,9,5.34386294,3.354694352,High
1,Tube,9,5.400866739,3.286386782,High
1,Tube,10,1.874062275,2.410606551,High
1,Tube,10,1.931818182,2.408008658,High
1,Tube,10,2.015692641,3.135822511,High
1,Tube,10,2.336025918,3.147948164,High
1,Tube,10,5.575167387,3.17674586,High
1,Tube,10,5.681818182,3.295454545,High
1,Tube,11,2.25188781,3.133764833,High
1,Tube,11,2.354270164,3.031168808,High
1,Tube,11,2.745415318,3.19579288,High
1,Tube,11,3.022840828,2.947894361,High
1,Tube,11,3.70819849,3.0798274,High
1,Tube,11,3.985248037,3.046632762,High
1,Tube,12,2.46482684,3.043831169,High
1,Tube,12,2.486383442,3.129084967,High
1,Tube,12,3.80952381,3.130411255,High
1,Tube,12,4.041394336,3.153594771,High
1,Tube,12,5.12987013,3.100649351,High
1,Tube,12,5.171568627,3.080065359,High
1,Tube,13,1.822125813,2.265005423,High
1,Tube,13,3.606911447,3.169546436,High
1,Tube,13,4.203563715,3.123650108,High
1,Tube,13,5.642548596,3.083153348,High
1,Tube,13,6.279826464,3.002532538,High
1,Tube,13,6.301518438,3.223063991,High
2,Circle,4,3.511771523,1.401766004,High
2,Circle,4,3.616007709,1.345446035,High
2,Circle,4,3.876931567,1.203090508,High
2,Circle,4,4.001103753,1.558129139,High
2,Circle,4,4.043683921,1.536343612,High
2,Circle,5,3.833333333,1.42962963,High
2,Circle,5,3.938622635,1.266981441,High
2,Circle,5,3.972585517,1.497452693,High
2,Circle,5,4.025925926,1.525925926,High
2,Circle,6,3.744493392,1.646475771,High
2,Circle,6,3.829891224,1.345256268,High
2,Circle,6,3.858296623,1.41886931,High
2,Circle,6,3.911012168,1.5886191,High
2,Circle,7,3.570027594,1.548320456,High
2,Circle,7,3.576696165,1.55543326,High
2,Circle,7,3.866764381,1.639011799,High
2,Circle,7,4.082658205,1.484547461,High
2,Circle,8,3.562164097,1.291606094,High
2,Circle,8,3.696769457,1.644029001,High
2,Circle,9,3.528329654,1.303040839,High
2,Circle,9,3.619082046,1.204317513,High
2,Circle,9,3.93794518,1.420774467,High
2,Circle,9,4.018887049,1.52133922,High
2,Circle,10,3.54842736,1.173796091,High
2,Circle,10,3.694933921,0.853524229,High
2,Circle,10,3.801622419,1.498279867,High
2,Circle,10,3.86625,1.404185022,High
2,Circle,11,3.490842491,1.595238095,High
2,Circle,11,3.54090293,1.5,High
2,Circle,11,3.914529304,1.419413919,High
2,Circle,11,3.992673993,1.529304029,High
2,Circle,12,3.733480176,1.465368943,High
2,Circle,12,3.775811209,1.245698746,High
2,Circle,12,3.953744493,0.991800661,High
2,Circle,12,3.984758481,1.368608038,High
2,Circle,13,3.542124542,1.183760073,High
2,Circle,13,3.660779985,1.552612215,High
2,Circle,13,3.732600733,1.486569597,High
2,Circle,13,4.072847682,1.44468911,High
2,Tube,4,4.44092827,1.763361463,High
2,Tube,4,4.914934124,2.005942029,High
2,Tube,5,4.690375088,1.875442321,High
2,Tube,5,4.734607219,1.748053786,High
2,Tube,6,4.171952079,1.755343552,High
2,Tube,6,4.936305732,1.910828025,High
2,Tube,7,4.865248227,1.877659574,High
2,Tube,7,4.966383581,1.813517339,High
2,Tube,8,3.453389831,1.86970339,High
2,Tube,8,4.462137297,1.811748054,High
2,Tube,9,4.672364672,1.885683761,High
2,Tube,9,4.831917905,1.811748054,High
2,Tube,10,4.415546709,1.726233192,High
2,Tube,11,4.956077279,1.845322293,High
2,Tube,11,5.019503546,1.663120567,High
2,Tube,12,4.300847458,1.866172316,High
2,Tube,13,4.764453961,1.855817273,High
2,Tube,13,4.783687943,1.781914894,High
