Colony,Nest,Day,ScaledX,ScaledY,Density
11,Circle,3,4.072394851,2.186970631,Low
11,Circle,3,4.61143401,3.06200145,Low
11,Circle,3,3.207034083,3.063814358,Low
11,Circle,3,2.922407542,3.125453227,Low
11,Circle,4,4.957433688,2.626156369,Low
11,Circle,4,4.088834782,3.196174806,Low
11,Circle,4,3.444787977,2.68784791,Low
11,Circle,4,4.819246784,1.145589001,Low
11,Circle,4,3.115978024,3.07896384,Low
11,Circle,5,3.129893238,1.976868327,Low
11,Circle,5,3.451957295,2.919928826,Low
11,Circle,5,2.941281139,3.048042705,Low
11,Circle,5,4.795966192,2.379003559,Low
11,Circle,5,4.824435943,1.852313167,Low
11,Circle,6,3.458332721,1.805759191,Low
11,Circle,6,3.071079044,2.141544118,Low
11,Circle,6,4.375,2.232229779,Low
11,Circle,6,4.541667279,2.416053309,Low
11,Circle,6,3.100490809,3.004288603,Low
11,Circle,8,3.146520702,1.865865354,Low
11,Circle,8,2.802824846,2.891379476,Low
11,Circle,8,2.530965139,2.594747659,Low
11,Circle,8,4.364008467,2.831929382,Low
11,Circle,8,4.886054606,1.514738236,Low
11,Circle,9,5.026961397,1.543505515,Low
11,Circle,9,3.174632353,3.148897059,Low
11,Circle,9,3.169117647,2.257965074,Low
11,Circle,9,4.243259191,2.379288603,Low
11,Circle,9,4.041053309,2.212623162,Low
11,Circle,10,4.915779653,1.384072502,Low
11,Circle,10,4.906490575,2.405870994,Low
11,Circle,10,4.520064964,2.404013179,Low
11,Circle,10,3.04310169,2.545207152,Low
11,Circle,10,2.940921841,3.082115814,Low
11,Circle,11,2.234291237,2.368065169,Low
11,Circle,11,3.055964654,3.088488586,Low
11,Circle,11,5.031296024,1.577687776,Low
11,Circle,11,3.835296392,2.513499632,Low
11,Circle,11,4.247667526,2.596956922,Low
11,Circle,12,2.601105878,2.846646571,Low
11,Circle,12,2.849787114,3.075231726,Low
11,Circle,12,3.678724567,3.027505652,Low
11,Circle,12,4.847400151,1.769655237,Low
11,Circle,13,4.067613113,2.36196319,Low
11,Circle,13,4.215874233,2.147239264,Low
11,Circle,13,4.992969709,1.991309433,Low
11,Circle,13,2.84828796,2.287831672,Low
11,Circle,13,3.372315951,3.142254601,Low
11,Tube,2,1.779430258,1.735097294,Low
11,Tube,2,2.106125753,3.85690849,Low
11,Tube,2,2.546038392,3.869866475,Low
11,Tube,2,6.579593292,2.571954362,Low
11,Tube,2,5.520392099,1.713271489,Low
11,Tube,3,2.135278915,3.7372611,Low
11,Tube,3,2.529665988,4.080692576,Low
11,Tube,3,6.102190967,3.961329197,Low
11,Tube,3,6.654334545,2.870306035,Low
11,Tube,3,6.352784957,2.722322669,Low
11,Tube,4,2.314642175,4.041557514,Low
11,Tube,4,2.280342047,3.6167548,Low
11,Tube,4,3.436014718,4.060026509,Low
11,Tube,4,6.199206306,4.063984292,Low
11,Tube,4,6.618072346,2.356200876,Low
11,Tube,5,1.060561491,2.591203664,Low
11,Tube,5,4.116077272,4.098053483,Low
11,Tube,5,4.375630227,4.07642407,Low
11,Tube,5,6.779378258,3.408795471,Low
11,Tube,5,6.538571516,1.686373946,Low
11,Tube,7,1.520217729,1.718506998,Low
11,Tube,7,2.134525661,3.824519829,Low
11,Tube,7,2.354846423,4.070762053,Low
11,Tube,7,5.772420295,4.039657854,Low
11,Tube,7,6.443753888,2.22524689,Low
11,Tube,8,1.607279693,1.810344828,Low
11,Tube,8,2.007024904,4.021710728,Low
11,Tube,8,2.346743295,4.026819923,Low
11,Tube,8,5.88697318,4.007662835,Low
11,Tube,8,6.371009579,2.617496169,Low
11,Tube,9,1.665396341,1.783536585,Low
11,Tube,9,1.359247332,4.098704268,Low
11,Tube,9,2.18622904,4.020579268,Low
11,Tube,9,5.866996951,4.04535061,Low
11,Tube,9,6.444359756,2.425685976,Low
11,Tube,11,1.643513465,1.971704942,Low
11,Tube,11,2.102346049,4.095717448,Low
11,Tube,11,2.427352463,4.141600706,Low
11,Tube,11,6.47463822,2.485979797,Low
11,Tube,12,1.462800941,2.129886776,Low
11,Tube,12,1.321564479,3.065572896,Low
11,Tube,12,4.597731349,4.069356755,Low
11,Tube,12,5.774276264,4.058007447,Low
11,Tube,12,6.534679891,2.138082867,Low
11,Tube,13,1.883664371,1.949837163,Low
11,Tube,13,1.175951452,3.228510433,Low
11,Tube,13,1.709729429,4.088102585,Low
11,Tube,13,6.302621464,3.040080282,Low
12,Circle,1,3.951567444,1.538301415,Low
12,Circle,2,3.419629895,2.152204935,Low
12,Circle,3,3.097499411,1.610270377,Low
12,Circle,4,3.095828923,1.987309946,Low
12,Circle,6,4.107496918,1.52614893,Low
12,Circle,7,3.978927203,2.777777778,Low
12,Circle,8,2.605105416,1.531468077,Low
12,Circle,10,2.938836072,1.302816901,Low
12,Circle,11,3.062611624,1.539005004,Low
12,Circle,12,2.848344881,1.22786759,Low
12,Tube,3,1.539735099,2.324012141,Low
12,Tube,5,2.866617539,1.562883198,Low
12,Tube,7,1.600223547,1.868479881,Low
12,Tube,7,3.502235469,3.125931446,Low
12,Tube,8,1.797520661,1.788129226,Low
12,Tube,8,3.011519534,3.379663787,Low
12,Tube,8,4.513523666,1.77310293,Low
12,Tube,9,1.441277412,2.626705044,Low
12,Tube,9,4.130116959,3.389376827,Low
12,Tube,9,4.803850512,3.198099415,Low
12,Tube,10,2.973843436,3.162885831,Low
12,Tube,10,5.277054667,3.144291558,Low
