"Colony","Nest","Day","ScaledX","ScaledY","ColorID","Density"
1,"Tube",4,1.922256804,2.394794082,"G,Db,Y,Y","High"
1,"Tube",4,3.061700049,1.590582528,"G,G,G,P","High"
1,"Tube",4,2.15049852,3.302422146,"G,G,Lb,O","High"
1,"Tube",4,6.317758089,2.382308352,"G,Lb,W,Y","High"
1,"Tube",4,4.265337281,3.175820907,"G,O,X,X","High"
1,"Tube",4,1.947217565,1.515689545,"G,O,Y,G","High"
1,"Tube",4,1.756422341,2.621254415,"G,P,G,G","High"
1,"Tube",4,4.548860717,3.218616898,"G,W,Lb,Lb","High"
1,"Tube",4,1.777820336,2.902996468,"G,W,W,P","High"
1,"Tube",4,2.113052028,1.422966682,"G,Y,Lb,Db","High"
1,"Tube",4,4.689729069,3.272111886,"G,Y,O,G","High"
1,"Tube",4,5.900497182,1.825960476,"W,B,Db,Lb","High"
1,"Tube",4,3.168690025,3.04386482,"W,B,P,Y","High"
1,"Tube",4,4.354492028,3.270325153,"W,B,W,B","High"
1,"Tube",4,5.501071505,1.800999714,"W,Db,Db,W","High"
1,"Tube",4,1.756422341,1.690441623,"W,Db,X,X","High"
1,"Tube",4,3.202568401,1.652995131,"W,G,B,Lb","High"
1,"Tube",4,5.797075322,1.752854225,"W,Lb,Db,B","High"
1,"Tube",4,6.023535655,1.656563247,"W,Lb,Y,G","High"
1,"Tube",4,5.183664342,3.305990262,"W,O,O,W","High"
1,"Tube",4,3.333631122,1.575427398,"W,P,Db,G","High"
1,"Tube",4,4.725394178,3.072393697,"W,P,O,Y","High"
1,"Tube",4,3.360378616,1.717189117,"W,P,P,W","High"
1,"Tube",4,1.845577088,2.280667874,"W,P,W,P","High"
1,"Tube",4,5.347717422,3.147286681,"W,W,Db,Db","High"
1,"Tube",4,3.445077231,3.108058806,"W,W,W,W","High"
1,"Tube",4,1.936518568,2.633734795,"W,X,W,X","High"
1,"Tube",4,5.711483341,1.62802902,"W,X,X,Lb","High"
1,"Tube",4,3.125894035,3.245364392,"W,X,X,X","High"
1,"Tube",4,6.644077516,3.141937182,"W,X,X,X","High"
1,"Tube",4,6.504990547,2.80670549,"W,Y,O,Db","High"
1,"Tube",4,6.422966682,1.546005155,"W,Y,X,X","High"
1,"Tube",4,4.079886205,3.316689259,"W,Y,Y,W","High"
1,"Tube",4,3.106277423,1.431884297,"X,Db,X,B","High"
1,"Tube",4,6.176889737,3.328725632,"X,Db,X,X","High"
1,"Tube",4,1.82239771,1.920470071,"X,Lb,X,X","High"
1,"Tube",4,1.840227589,3.293509881,"X,Lb,X,X","High"
1,"Tube",4,2.177246014,1.556704152,"X,Lb,X,X","High"
1,"Tube",4,6.578102148,2.590938805,"X,Lb,X,X","High"
1,"Tube",4,6.041370884,3.295291264,"X,O,X,Lb","High"
1,"Tube",4,2.671186637,3.102709307,"X,O,X,X","High"
1,"Tube",4,1.883007531,1.424748065,"X,P,X,X","High"
1,"Tube",4,3.962197232,3.108058806,"X,W,X,X","High"
1,"Tube",4,5.675818233,3.229315895,"X,W,X,X","High"
1,"Tube",4,1.891941194,1.412267685,"X,X,B,X","High"
1,"Tube",4,6.346736324,3.33674988,"X,X,B,X","High"
1,"Tube",4,6.617330022,2.268187494,"X,X,G,W","High"
1,"Tube",4,6.307059092,2.512483055,"X,X,Lb,B","High"
1,"Tube",4,1.90798969,1.692223006,"X,X,Lb,G","High"
1,"Tube",4,6.465762673,2.813836372,"X,X,Lb,P","High"
1,"Tube",4,6.130525631,3.22574778,"X,X,P,Lb","High"
1,"Tube",4,1.70114062,1.551354654,"X,X,W,B","High"
1,"Tube",4,2.483954178,3.033165823,"X,X,W,G","High"
1,"Tube",4,3.257844773,3.218616898,"X,X,X,W","High"
1,"Tube",4,1.702927353,3.163335177,"X,X,X,X","High"
1,"Tube",4,1.959703295,1.868756466,"X,X,X,X","High"
1,"Tube",4,2.095222149,1.652995131,"X,X,X,X","High"
1,"Tube",4,2.280673224,1.572752649,"X,X,X,X","High"
1,"Tube",4,2.289585489,1.751067492,"X,X,X,X","High"
1,"Tube",4,2.300284486,3.206131168,"X,X,X,X","High"
1,"Tube",4,2.803137374,3.277461385,"X,X,X,X","High"
1,"Tube",4,2.831671601,1.453282292,"X,X,X,X","High"
1,"Tube",4,3.272111886,1.500534415,"X,X,X,X","High"
1,"Tube",4,3.814192648,3.070612314,"X,X,X,X","High"
1,"Tube",4,3.953279617,3.075961813,"X,X,X,X","High"
1,"Tube",4,4.49001623,3.323820141,"X,X,X,X","High"
1,"Tube",4,5.397644295,1.745717994,"X,X,X,X","High"
1,"Tube",4,5.68651723,1.736805729,"X,X,X,X","High"
1,"Tube",4,5.847002194,1.85270797,"X,X,X,X","High"
1,"Tube",4,5.939730407,3.345218137,"X,X,X,X","High"
1,"Tube",4,5.939730407,1.528175275,"X,X,X,X","High"
1,"Tube",4,6.123394749,1.551354654,"X,X,X,X","High"
1,"Tube",4,6.201855848,3.199000286,"X,X,X,X","High"
1,"Tube",4,6.303496325,2.83701575,"X,X,X,X","High"
1,"Tube",4,6.337374701,2.758560001,"X,X,X,X","High"
1,"Tube",4,6.371253077,2.307415368,"X,X,X,X","High"
1,"Tube",4,6.380170692,2.77638988,"X,X,X,X","High"
1,"Tube",4,6.492510167,3.241796276,"X,X,X,X","High"
1,"Tube",4,6.504990547,2.815617755,"X,X,X,X","High"
1,"Tube",4,6.620898138,2.585589306,"X,X,X,X","High"
1,"Tube",4,6.62802902,2.451851836,"X,X,X,X","High"
1,"Tube",4,6.629815753,2.895860237,"X,X,X,X","High"
1,"Tube",4,3.275680002,1.465762673,"X,X,Y,B","High"
1,"Tube",4,6.471112172,2.532094318,"X,Y,Db,X","High"
1,"Tube",4,3.193650787,3.281024151,"X,Y,X,X","High"
1,"Tube",4,6.109127636,3.348786252,"X,Y,X,X","High"
1,"Tube",4,6.59771876,2.906559234,"X,Y,X,X","High"
1,"Tube",4,5.650857471,1.8651937,"X,Y,X,Y","High"
1,"Tube",4,6.547786538,3.009986444,"Y,B,Db,G","High"
1,"Tube",4,3.817760764,3.245364392,"Y,B,O,Y","High"
1,"Tube",4,3.186519905,1.794756849,"Y,Db,G,Y","High"
1,"Tube",4,5.451139283,3.222179664,"Y,Db,P,O","High"
1,"Tube",4,6.392651073,3.2079179,"X,X,X,X","High"
1,"Tube",4,6.159059858,3.081311312,"Y,G,Lb,P","High"
1,"Tube",4,5.691866729,3.302422146,"Y,G,W,Y","High"
1,"Tube",4,1.808130596,3.124107302,"Y,G,X,X","High"
1,"Tube",4,3.660843916,3.16512191,"Y,G,X,X","High"
1,"Tube",4,2.753210502,3.170471409,"Y,Lb,G,W","High"
1,"Tube",4,1.893722577,2.765690882,"Y,O,G,G","High"
1,"Tube",4,6.508558663,2.264619378,"Y,O,Lb,Y","High"
1,"Tube",4,3.311339761,3.04386482,"Y,O,P,P","High"
1,"Tube",4,2.020329165,3.124107302,"Y,O,W,Db","High"
1,"Tube",4,4.49001623,3.090228926,"Y,P,P,B","High"
1,"Tube",4,6.398000571,2.619473032,"Y,P,W,O","High"
1,"Tube",4,6.414049068,2.981452218,"Y,W,O,G","High"
1,"Tube",4,3.495009453,3.314907876,"Y,W,P,Y","High"
1,"Tube",4,2.610555417,3.295291264,"Y,W,X,X","High"
1,"Tube",4,1.663694128,2.785307495,"Y,X,Lb,X","High"
1,"Tube",4,1.699359237,1.934737184,"Y,X,X,B","High"
1,"Tube",4,5.884448686,3.099141191,"Y,X,X,Lb","High"
1,"Tube",4,1.697577854,2.931525345,"Y,X,X,X","High"
1,"Tube",4,2.403711696,1.53708754,"Y,X,X,X","High"
1,"Tube",4,2.98323895,1.471112172,"Y,X,X,X","High"
1,"Tube",4,4.103065584,3.154422912,"Y,Y,Lb,O","High"
1,"Tube",4,6.522825776,3.232878662,"Y,Y,P,G","High"
1,"Tube",5,4.016547872,3.267140071,"G,G,G,P","High"
1,"Tube",5,5.864657801,3.139480496,"G,Lb,W,Y","High"
1,"Tube",5,4.609929078,3.146572695,"G,O,X,X","High"
1,"Tube",5,1.875886525,3.044326241,"G,P,G,G","High"
1,"Tube",5,4.359338652,3.154845745,"G,W,Lb,Lb","High"
1,"Tube",5,2.322695035,3.279551418,"G,W,W,P","High"
1,"Tube",5,2.839835106,3.032505319,"G,X,Y,X","High"
1,"Tube",5,3.661347518,3.249409574,"G,Y,Y,P","High"
1,"Tube",5,1.718675532,2.416076241,"Lb,W,P,B","High"
1,"Tube",5,1.806147163,2.720448582,"W,B,W,B","High"
1,"Tube",5,3.24822695,1.432624113,"W,Db,X,X","High"
1,"Tube",5,1.735815603,1.570921986,"W,G,B,Lb","High"
1,"Tube",5,1.931441489,2.550828014,"W,G,G,W","High"
1,"Tube",5,1.964539007,2.790189716,"W,G,Lb,B","High"
1,"Tube",5,1.773049645,2.160757092,"W,G,O,O","High"
1,"Tube",5,6.205673759,1.582742908,"W,Lb,Db,B","High"
1,"Tube",5,6.362884752,2.118794326,"W,Lb,Y,G","High"
1,"Tube",5,5.660164894,3.254136525,"W,O,B,P","High"
1,"Tube",5,2.764184397,1.712765957,"W,O,O,W","High"
1,"Tube",5,2.64893617,1.50177305,"W,P,Db,G","High"
1,"Tube",5,6.417257092,2.696218085,"W,P,G,Db","High"
1,"Tube",5,3.774822695,3.095744681,"W,P,O,Y","High"
1,"Tube",5,2.187943262,1.427304965,"W,P,X,X","High"
