"Colony","Nest","Day","ScaledX","ScaledY","ColorID","Density"
11,"Tube",2,3.736188278,1.948573599,"Db,P,P,Db","Low"
11,"Tube",2,3.759378835,1.4670575,"Db,P,W,G","Low"
11,"Tube",2,3.399264302,1.569362765,"Db,S,W,Lb","Low"
11,"Tube",2,3.605237539,2.105442354,"Db,W,P,P","Low"
11,"Tube",2,3.363797113,2.060428037,"Db,Y,O,W","Low"
11,"Tube",2,3.493385146,1.323830129,"Lb,Db,S,G","Low"
11,"Tube",2,3.702087887,1.60210045,"Lb,O,P,Db","Low"
11,"Tube",2,3.706180097,1.111035178,"Lb,S,S,O","Low"
11,"Tube",2,3.771655467,0.379894233,"X,X,X,X","Low"
11,"Tube",2,3.715727225,0.523121604,"X,X,X,X","Low"
11,"Tube",2,3.331059428,0.776838661,"X,X,X,X","Low"
11,"Tube",2,3.768925962,0.943254543,"X,X,X,X","Low"
11,"Tube",2,3.809848068,1.501159937,"X,X,X,X","Low"
11,"Tube",2,3.537034711,1.637565593,"X,X,X,X","Low"
11,"Tube",2,3.441549115,1.832628996,"X,X,X,X","Low"
11,"Tube",2,3.607967043,1.896739613,"X,X,X,X","Low"
11,"Tube",2,3.812577573,1.981311283,"X,X,X,X","Low"
11,"Tube",2,2.338017005,1.878324665,"Db,G,O,Y","Low"
11,"Tube",2,3.078707123,1.711225384,"Db,Lb,Db,Lb","Low"
11,"Tube",2,2.857727751,1.745327821,"Db,Lb,S,W","Low"
11,"Tube",2,1.670986677,1.98062993,"Db,O,O,Db","Low"
11,"Tube",2,2.710408169,2.084981301,"Db,S,P,O","Low"
11,"Tube",2,3.160551335,2.109534564,"Db,Y,Y,Db","Low"
11,"Tube",2,3.212385321,1.989495705,"X,X,X,X","Low"
11,"Tube",2,3.144182493,1.829899491,"X,X,X,X","Low"
11,"Tube",2,2.861819962,1.659391398,"X,X,X,X","Low"
11,"Tube",2,2.106807106,1.665529714,"X,X,X,X","Low"
11,"Tube",2,1.355886461,1.904924034,"Db,G,S,S","Low"
11,"Tube",2,0.95757728,3.408130077,"Db,S,Db,S","Low"
11,"Tube",2,1.291775843,2.293684041,"Db,S,Lb,W","Low"
11,"Tube",2,1.250853737,2.711089522,"Db,W,Db,W","Low"
