Colony,Number.ants,Diameter,Area
1,157,2.573992906,5.203608
2,47,1.408336543,1.557768
3,200,2.905176465,6.6288
4,99,2.043972822,3.281256
5,47,1.408336543,1.557768
6,47,1.408336543,1.557768
7,102,2.07471098,3.380688
8,20,0.918697464,0.66288
9,113,2.183718942,3.745272
10,109,2.144720823,3.612696
11,90,2.75609239,5.96592
12,83,2.646741722,5.501904
13,28,1.537274888,1.856064
14,161,3.686255685,10.672368
15,140,3.43745115,9.28032
16,15,1.125170007,0.99432
17,165,3.731766738,10.93752
18,41,1.860220584,2.717808
19,50,2.054269979,3.3144
20,65,2.342228147,4.30872
