Colony,Scaling
1,0.14487908
1,0.25272222
1,0.28540196
1,0.29847386
1,0.29847386
1,0.28540196
1,0.25272222
1,0.14487908
2,0.14487908
2,0.25272222
2,0.28540196
2,0.29847386
2,0.29847386
2,0.28540196
2,0.25272222
2,0.14487908
3,0.14487908
3,0.25272222
3,0.28540196
3,0.29847386
3,0.29847386
3,0.28540196
3,0.25272222
3,0.14487908
4,0.14487908
4,0.25272222
4,0.28540196
4,0.29847386
4,0.29847386
4,0.28540196
4,0.25272222
4,0.14487908
5,0.14487908
5,0.25272222
5,0.28540196
5,0.29847386
5,0.29847386
5,0.28540196
5,0.25272222
5,0.14487908
6,0.14487908
6,0.25272222
6,0.28540196
6,0.29847386
6,0.29847386
6,0.28540196
6,0.25272222
6,0.14487908
7,0.14487908
7,0.25272222
7,0.28540196
7,0.29847386
7,0.29847386
7,0.28540196
7,0.25272222
7,0.14487908
8,0.14487908
8,0.25272222
8,0.28540196
8,0.29847386
8,0.29847386
8,0.28540196
8,0.25272222
8,0.14487908
9,0.14487908
9,0.25272222
9,0.28540196
9,0.29847386
9,0.29847386
9,0.28540196
9,0.25272222
9,0.14487908
10,0.14487908
10,0.25272222
10,0.28540196
10,0.29847386
10,0.29847386
10,0.28540196
10,0.25272222
10,0.14487908
11,0.14487908
11,0.25272222
11,0.28540196
11,0.29847386
11,0.29847386
11,0.28540196
11,0.25272222
11,0.14487908
12,0.14487908
12,0.25272222
12,0.28540196
12,0.29847386
12,0.29847386
12,0.28540196
12,0.25272222
12,0.14487908
13,0.14487908
13,0.25272222
13,0.28540196
13,0.29847386
13,0.29847386
13,0.28540196
13,0.25272222
13,0.14487908
14,0.14487908
14,0.25272222
14,0.28540196
14,0.29847386
14,0.29847386
14,0.28540196
14,0.25272222
14,0.14487908
15,0.14487908
15,0.25272222
15,0.28540196
15,0.29847386
15,0.29847386
15,0.28540196
15,0.25272222
15,0.14487908
16,0.14487908
16,0.25272222
16,0.28540196
16,0.29847386
16,0.29847386
16,0.28540196
16,0.25272222
16,0.14487908
17,0.14487908
17,0.25272222
17,0.28540196
17,0.29847386
17,0.29847386
17,0.28540196
17,0.25272222
17,0.14487908
18,0.14487908
18,0.25272222
18,0.28540196
18,0.29847386
18,0.29847386
18,0.28540196
18,0.25272222
18,0.14487908
19,0.14487908
19,0.25272222
19,0.28540196
19,0.29847386
19,0.29847386
19,0.28540196
19,0.25272222
19,0.14487908
20,0.14487908
20,0.25272222
20,0.28540196
20,0.29847386
20,0.29847386
20,0.28540196
20,0.25272222
20,0.14487908
